"","ownership_category","ownershipType","locationid","locationodscode","registrationdate","providerid","locationname","providername","providercompanieshousenumber","providercharitynumber"
"7790","Independent","Partnership","1-575245535","H81036","2013-04-01","1-199743894","Parishes Bridge Medical Practice","Parishes Bridge Medical Practice","",""
"7791","Independent","Partnership","1-575336595","M92030","2013-04-01","1-199776467","Church Street Surgery","Church Street Surgery","",""
"7792","Independent","Partnership","1-575399334","P81040","2013-04-01","1-199781263","Longton Health Centre","Longton Health Centre","",""
"7793","Independent","Partnership","1-575407261","M86018","2013-04-01","1-199772747","Moseley Avenue Surgery","Moseley Avenue Surgery","",""
"7794","Independent","Partnership","1-575410189","C81017","2013-04-01","1-199704968","The Arthur Medical Centre","The Arthur Medical Centre","",""
"7795","Independent","Partnership","1-575498229","G84019","2013-04-01","1-199741848","The Broomwood Road Surgery","The Broomwood Road Surgery","",""
"7796","Independent","Partnership","1-575598613","F81111","2013-04-01","1-199727211","Elsenham Surgery","Elsenham Surgery","",""
"7797","Independent","Individual","1-575608505","F82639","2013-04-01","1-199729449","Dr Joseph","Dr P A Joseph","",""
"7798","Independent","Partnership","1-575614656","B86064","2013-04-01","1-199703820","Leigh View Medical Practice","Leigh View Medical Practice","",""
"7799","Independent","Partnership","1-575629008","M85047","2013-04-01","1-199770847","Woodland Road Surgery","Woodland Road Surgery","",""
"7800","Independent","Partnership","1-575630671","C81035","2013-04-01","1-199705148","Village Surgery","Village Surgery","",""
"7801","Independent","Partnership","1-575644799","H85027","2013-04-01","1-199747416","Wimbledon Village Surgery","Wimbledon Village Surgery","",""
"7802","Corporation","Organisation","1-575689573","Y02597","2013-04-01","1-199809047","Gatehouse (Health) Ltd","Gatehouse (Health) Limited","06631316",""
"7803","Independent","Partnership","1-575711810","L82611","2013-04-01","1-199761960","Wheal Northey Surgery","Wheal Northey Surgery","",""
"7804","Independent","Partnership","1-575716460","E82060","2013-04-01","1-199719707","Parkbury House Surgery","Parkbury House Surgery","",""
"7805","Independent","Partnership","1-575769382","G85020","2013-04-01","1-199742336","Kingfisher Medical Centre","Kingfisher Medical Centre","",""
"7806","Independent","Partnership","1-575770850","C81068","2013-04-01","1-199705467","Chapel Street Medical Centre","Chapel Street Medical Centre","",""
"7807","Independent","Partnership","1-575826826","M83148","2013-04-01","1-199769010","The Peel Medical Practice","The Peel Medical Practice","",""
"7808","Independent","Partnership","1-575841555","N82059","2013-04-01","1-199778470","Dr J A Topping and Partners","Dr J A Topping and Partners","",""
"7809","Independent","Partnership","1-575924221","P81136","2013-04-01","1-199781974","Dr A Bisarya","Dr Bisarya & Partner","",""
"7810","Independent","Partnership","1-575930984","E81048","2013-04-01","1-199717859","Bute House Medical Centre","Bute House Medical Centre","",""
"7811","Independent","Partnership","1-575984449","B81065","2013-04-01","1-199694462","Trent View Medical Practice","Trent View Medical Practice","",""
"7812","Independent","Partnership","1-5760194874","H83040","2018-09-17","1-5263574890","Mitchley Avenue Surgery","Mitchley Avenue Surgery","",""
"7813","Independent","Partnership","1-576042105","C83044","2013-04-01","1-199709100","Caskgate Street Surgery","Caskgate Street Surgery","",""
"7814","Independent","Partnership","1-576096674","M85007","2013-04-01","1-199796969","West Heath Surgery","West Heath Surgery","",""
"7815","Independent","Partnership","1-576168856","C87024","2013-04-01","1-199713352","Rawmarsh Health Centre, Rawmarsh Customer Services Centre","Rawmarsh Health Centre, Rawmarsh Customer Services Centre","",""
"7816","Independent","Partnership","1-576232491","C81040","2013-04-01","1-199705198","Park Lane Surgery","Park Lane Surgery","",""
"7817","Independent","Partnership","1-576290567","P92020","2013-04-01","1-199787927","Dr Sivakumar and Dr Gude","Dr Sivakumar and Dr Gude","",""
"7818","Independent","Partnership","1-576305031","P84652","2013-04-01","1-199784988","Corkland Road Medical Practice","Corkland Road Medical Practice","",""
"7819","Independent","Partnership","1-576412747","C81050","2013-04-01","1-285141754","The Village Surgery","The Village Surgery","",""
"7820","Independent","Partnership","1-576726726","N81008","2013-04-01","1-199776802","The Cedars Medical Centre","The Cedars Medical Centre","",""
"7821","Independent","Partnership","1-576750382","M85020","2013-04-01","1-199770628","Newtown Health Centre","Newtown Medical Centre","",""
"7822","Independent","Partnership","1-576750398","Y02164","2013-04-01","1-199770628","Aston Pride Community Health Centre","Newtown Medical Centre","",""
"7823","Independent","Partnership","1-576765354","E85122","2013-04-01","1-199723030","Dr Evans & Partners","Florence Road Surgery","",""
"7824","Independent","Partnership","1-576770055","G82046","2013-04-01","1-199738620","Summerhill Surgery","Summerhill Surgery","",""
"7825","Independent","Partnership","1-576812266","P85021","2013-04-01","1-199785423","Greenbank Medical Practice","Greenbank Medical Practice","",""
"7826","Independent","Partnership","1-576853866","M87003","2013-04-01","1-199773199","Moss Grove Surgery - Kingswinford","Moss Grove Surgery - Kingswinford","",""
"7827","Independent","Partnership","1-576926459","C83613","2013-04-01","1-199709465","Binbrook Surgery","Binbrook Surgery","",""
"7828","Independent","Partnership","1-576970865","B87012","2013-04-01","1-199704484","Dr A Hayat & Partners","Dr A Hayat & Partners","",""
"7829","Independent","Partnership","1-577006248","C84085","2013-04-01","1-199711307","Victoria & Mapperley Practice","Victoria & Mapperley Practice","",""
"7830","Independent","Partnership","1-577008791","K81023","2013-04-01","1-199752685","Heath Hill Surgery","Heath Hill Surgery","",""
"7831","Independent","Partnership","1-577052709","M82012","2013-04-01","1-199767368","Donnington Medical Practice","Donnington Medical Practice","",""
"7832","Independent","Partnership","1-577053164","M85058","2013-04-01","1-199770916","Harborne Medical Practice","Harborne Medical Practice","",""
"7833","Independent","Partnership","1-577183166","D82071","2013-04-01","1-199716219","East Norwich Medical Partnership","East Norwich Medical Partnership","",""
"7834","Independent","Partnership","1-577985237","B82075","2013-04-01","1-199695916","Mayford House Surgery","Mayford House Surgery","",""
"7835","Independent","Partnership","1-577994104","H82032","2013-04-01","1-199745237","Riverbank Medical Centre","Riverbank Medical Centre","",""
"7836","Independent","Partnership","1-578044035","B82104","2013-04-01","1-199696113","Harewood Medical Practice","Harewood Medical Practice","",""
"7837","Independent","Partnership","1-578115835","L81054","2013-04-01","1-199759518","Grange Road Surgery","Grange Road Surgery","",""
"7838","Independent","Partnership","1-578118546","N81049","2013-04-01","1-199777208","Knutsford Medical Partnership","Knutsford Medical Partnership","",""
"7839","Independent","Partnership","1-578145911","E85640","2013-04-01","1-199723224","Churchfield Surgery","Churchfield Surgery","",""
"7840","Independent","Partnership","1-578173244","P81170","2013-04-01","1-199782182","Dr M Umar & Dr H Sadique","Dr M Umar & Dr H Sadique","",""
"7841","Independent","Partnership","1-578179716","A81043","2013-04-01","1-198597233","The Manor House Surgery","The Manor House Surgery","",""
"7842","Independent","Partnership","1-578188955","G83039","2013-04-01","1-199741253","St Marks PMS","St Marks PMS","",""
"7843","Independent","Partnership","1-5783196230","Y02626","2018-10-16","1-199808572","The Keys Family Practice","Modality Partnership","",""
"7844","Independent","Partnership","1-5783196318","M91032","2018-10-16","1-199808572","Collingwood Family Practice","Modality Partnership","",""
"7845","Independent","Partnership","1-5783196351","M91613","2018-10-16","1-199808572","Forrester Street Medical Centre","Modality Partnership","",""
"7846","Independent","Partnership","1-5783196385","Y02627","2018-10-16","1-199808572","Harden Blakenall Medical Centre","Modality Partnership","",""
"7847","Independent","Individual","1-5783669093","B81620","2018-11-27","1-5658104501","Blundell Park Surgery","Dr Basabi Biswas-Saha","",""
"7848","Independent","Partnership","1-578530006","M92026","2013-04-01","1-199776427","Drs Bilas & Thomas","Drs Bilas & Thomas","",""
"7849","Independent","Partnership","1-578556899","F86078","2013-04-01","1-199735453","The Ridgeway Surgery","The Ridgeway Surgery","",""
"7850","Independent","Partnership","1-578694331","G85136","2013-04-01","1-199743112","Waterloo Health Centre","Waterloo Health Centre","",""
"7851","Independent","Partnership","1-578766366","H81054","2013-04-01","1-199744060","Bridge Practice","Bridge Practice","",""
"7852","Independent","Partnership","1-578804458","C81084","2013-04-01","1-199705617","Avenue House and Hasland Partnership","Inspire Health","",""
"7853","Independent","Partnership","1-578899853","C88077","2013-04-01","1-199714135","The Health Care Surgery","Green Cross Group Practice","",""
"7854","Independent","Partnership","1-579303624","E85748","2013-04-01","1-199723784","The Medical Centre - Dr Kukar","The Medical Centre - Dr Kukar","",""
"7855","Independent","Partnership","1-579827059","K84033","2013-04-01","1-199758528","Dr Arthur & Partners","Dr Mackenzie & Partners","",""
"7856","Independent","Partnership","1-579829185","P82029","2013-04-01","1-199783666","Halliwell Surgery 2","Halliwell Surgery 2","",""
"7857","Independent","Partnership","1-579870652","B82022","2013-04-01","1-199695438","Great Ayton Health Centre","Great Ayton Health Centre","",""
"7858","Independent","Partnership","1-580155029","P81066","2013-04-01","1-199781472","Layton Medical Centre","Layton Medical Centre","",""
"7859","Independent","Partnership","1-580430186","M83121","2013-04-01","1-199768810","Dr V C Tiguti & Partners","Dr V C Tiguti & Partners","",""
"7860","Independent","Partnership","1-581012376","N83008","2013-04-01","1-199779218","Berrymead Medical Centre","Ferguson Family Medical Practice","",""
"7861","Independent","Partnership","1-581036967","M83733","2013-04-01","1-199769643","Dr Veerayya Yarra & Dr Anitha John","Dr Veerayya Yarra & Dr Anitha John","",""
"7862","Independent","Partnership","1-581280556","C88044","2013-04-01","1-199713897","Manchester Road Surgery","Manchester Road Surgery","",""
"7863","Independent","Partnership","1-581296299","F83624","2013-04-01","1-199730264","Clerkenwell Medical Practice","Clerkenwell Medical Practice","",""
"7864","Independent","Partnership","1-581299746","B82069","2013-04-01","1-199695867","Beech House Surgery","Beech House Surgery","",""
"7865","Independent","Partnership","1-581328566","E87066","2013-04-01","1-199724664","Fitzrovia Medical Centre","Fitzrovia Medical Centre","",""
"7866","Independent","Partnership","1-581332203","A84006","2013-04-01","1-199688400","Alnwick Medical Group","Alnwick Medical Group","",""
"7867","Independent","Partnership","1-581334890","G81057","2013-04-01","1-199736503","Sedlescombe Surgery","Sedlescombe Surgery","",""
"7868","Independent","Partnership","1-581340772","G81104","2013-04-01","1-199737822","Park Practice","Park Practice","",""
"7869","Corporation","Organisation","1-581352748","Y02720","2013-04-01","1-199810199","GP CARE Services Ltd","GP CARE Services Limited","06561284",""
"7870","Independent","Partnership","1-581387985","N83005","2013-04-01","1-199779188","Market Street Surgery","Market Street Surgery","",""
"7871","Independent","Partnership","1-581389883","C88041","2013-04-01","1-199713869","Woodseats Medical Centre","Woodseats Medical Centre","",""
"7872","Independent","Partnership","1-581397815","C81049","2013-04-01","1-199705288","Kelvingrove Medical Centre","Kelvingrove Medical Centre","",""
"7873","Independent","Partnership","1-581404534","M83608","2013-04-01","1-199769030","Quinton Practice","Quinton Practice","",""
"7874","Independent","Partnership","1-581427309","L82028","2013-04-01","1-199760632","The Three Spires Medical Practice","The Three Spires Medical Practice","",""
"7875","Independent","Partnership","1-581430608","D82005","2013-04-01","1-199715600","Sheringham Medical Practice","Sheringham Medical Practice","",""
"7876","Independent","Partnership","1-581450737","P84039","2013-04-01","1-199784496","The Range Medical Centre","The Range Medical Centre","",""
"7877","Independent","Partnership","1-581497069","C84106","2013-04-01","1-199711436","Millview Surgery","Millview Surgery","",""
"7878","Independent","Partnership","1-581519903","H81061","2013-04-01","1-199744120","Hillview Medical Centre","Hillview Medical Centre","",""
"7879","Independent","Partnership","1-581528607","C81648","2013-04-01","1-199705995","Oakwood Surgery","Oakwood Surgery","",""
"7880","Independent","Partnership","1-581547496","A84015","2013-04-01","1-199688468","Laburnum Surgery","Laburnum Surgery","",""
"7881","Independent","Partnership","1-581549066","B85062","2013-04-01","1-199702947","The University Health Centre","Drs Mounsey & Rasakumaran","",""
"7882","Independent","Partnership","1-581563331","C84013","2013-04-01","1-199710770","Kingfisher Family Practice","Kingfisher Family Practice","",""
